element_id,part_num,color_id,design_id
6514209,3005,182,35382
6514208,3005,114,35382
6514214,3005,1095,35382
6514207,3005,47,35382
6514213,3005,46,35382
6236772,3005,3,3005
6014488,3005,10,
6088531,3005,158,
6014082,3005,212,
6014060,3005,41,
6514210,3005,41,35382
6014502,3005,226,
6088654,3005,321,
6514212,3005,129,35382
6089841,3005,308,
6015117,3005,31,
6015104,3005,30,
6031135,3005,326,
6514215,3005,33,35382
6494117,3005,33,35382
6001824,3005,28,3005
300501,3005,15,3005
6514211,3005,45,35382
4211389,3005,71,3005
4211242,3005,70,3005
6089873,3005,35,
4112802,3005,34,30071
4112801,3005,36,30071
6102359,3005,40,30071
6052994,3005,41,30071
6567035,3005,158,3005
4129874,3005,45,30071
6097448,3005,45,30071
4227497,3005,46,30071
4645394,3005,47,30071
6567217,3005,1136,3005
300551,3005,15,
6554189,3005,272,3005
300526,3005,0,3005
4243861,3005,1091,
6548258,3005,15,3005
6552096,3005,15,
4569624,3005,84,3005
4224851,3005,85,3005
4640738,3005,85,3005
4216456,3005,114,30071
4262655,3005,182,30071
4209383,3005,320,3005
4630751,3005,323,3005
6101288,3005,323,3005
4155050,3005,378,3005
6584821,3005,1146,3005
4169428,3005,379,3005
4179814,3005,484,3005
6240548,3005,33,35382
6000643,3005,484,3005
4517380,3005,378,
6240554,3005,40,35382
6264956,3005,1050,3005
4496977,3005,78,
6213776,3005,3,3005
4165452,3005,73,
4141275,3005,41,30071
6343279,3005,10,3005
4238226,3005,47,
4101685,3005,41,
4119350,3005,33,30071
6066120,3005,52,30071
4143573,3005,52,30071
4589633,3005,85,
4517507,3005,378,
300544,3005,46,
300525,3005,6,3005
300505,3005,19,
300543,3005,33,
4245298,3005,29,
4165447,3005,92,
4497070,3005,28,
4490694,3005,191,
4245297,3005,5,
300510,3005,47,
4166057,3005,46,30071
4597483,3005,484,
4597300,3005,46,
4130371,3005,41,
4250605,3005,1051,3005
4112551,3005,33,
4271434,3005,288,
4101686,3005,36,
4122456,3005,484,
6089855,3005,40,
300540,3005,47,
4497030,3005,92,
4496290,3005,288,
4130355,3005,462,
300527,3005,8,
4177585,3005,10,
4133523,3005,135,
4122446,3005,27,
3007143,3005,33,
3007140,3005,47,30071
300511,3005,1051,3005
4101687,3005,34,
4119645,3005,25,
300523,3005,1,3005
300528,3005,2,3005
300521,3005,4,3005
6225538,3005,321,3005
4492224,3005,5,3005
4160990,3005,6,3005
300502,3005,7,3005
4114079,3005,8,3005
300524,3005,14,3005
4113915,3005,19,3005
4173805,3005,25,3005
6022035,3005,26,3005
4220634,3005,27,3005
4286050,3005,29,3005
4651903,3005,30,3005
4166055,3005,57,30071
4211098,3005,72,3005
4179830,3005,73,3005
4163591,3005,118,3005
6369191,3005,78,3005
6061685,3005,191,3005
4255413,3005,272,3005
4521915,3005,288,3005
4585671,3005,1051,3005
4541376,3005,320,3005
4619652,3005,322,3005
6058242,3005,326,3005
4521948,3005,378,3005
4620077,3005,379,3005
4159178,3005,462,3005
6172766,3005,158,3005
6022084,3005,226,3005
6240553,3005,45,35382
6240550,3005,182,35382
6220959,3005,47,35382
6240552,3005,52,35382
6277483,3005,46,35382
6226437,3005,308,3005
6240549,3005,114,35382
6236576,3005,323,3005
6254484,3005,484,3005
300509,3005,13,3005
6422915,3005,1050,3005
6427904,3005,1062,3005
6285271,3005,212,3005
6253761,3005,129,35382
6330369,3005,92,3005
4119671,3005,18,
6240551,3005,41,35382
6097053,3005,31,3005
6084028,3005,85,3005
6057986,3005,84,3005
6329870,3005,40,35382
4597292,3005,36,
4495168,3005,42,
4176391,3005,334,
4561489,3005,34,
4128573,3005,74,3005
300522,3005,351,3005
4143490,3005,143,30071
4188707,3005,135,
4569767,3005,151,
4119683,3005,125,
6452907,3005,10,3005
4497006,3005,86,
4130313,3005,112,
4130332,3005,68,
4133556,3005,22,
6470140,3005,1095,35382
